id,name,age,email,start_date,end_date,source_system,record_type,region
5000,Person 5000,,user5000@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5001,Person 5001,64,user5001@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5002,Person 5002,50,user5002@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5003,Person 5003,-9,user5003@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5004,Person 5004,86,user5004@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5005,Person 5005,29,user5005@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5006,Person 5006,36,user5006@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5007,Person 5007,587,user5007@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5008,Person 5008,88,user5008@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5009,Person 5009,82,user5009@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5010,Person 5010,39,user5010@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5011,Person 5011,53,user5011@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5012,Person 5012,25,user5012-example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5013,Person 5013,45,user5013@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5014,Person 5014,26,user5014@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
5015,Person 5015,48,user5015@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5016,Person 5016,88,user5016@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5017,Person 5017,89,user5017@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5018,Person 5018,51,user5018@example.com,2024-01-01,2024-06-01,LEGACY_A,BATCH,UK
5019,Person 5019,73,user5019@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5020,Person 5020,91,user5020@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5021,Person 5021,48,user5021@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5022,Person 5022,75,user5022@example.com,2024-06-01,2024-01-01,MODERN,STREAM,UK
5023,Person 5023,59,user5023@example.com,2024-01-01,2024-06-01,MODERN,STREAM,APAC
5024,Person 5024,41,user5024@example.com,2024-01-01,2024-06-01,MODERN,STREAM,EU
5025,Person 5025,53,user5025@example.com,2024-01-01,2024-06-01,MODERN,STREAM,US
5026,Person 5026,22,user5026@example.com,2024-01-01,2024-06-01,MODERN,STREAM,UK
